transaction_id,timestamp,amount,merchant_category,payment_mode,location_type,is_successful,transaction_hour,day_of_week
TXN100148,2024-01-01 14:48:00,4571.7,Online Services,Online,Rural,Yes,14,Monday
TXN100022,2024-01-01 16:12:00,4505.8,Shopping,Online,Semi-Urban,No,16,Monday
TXN100123,2024-01-01 17:29:00,4651.69,Food & Dining,Online,Semi-Urban,No,17,Monday
TXN100227,2024-01-01 22:09:00,975.8,Shopping,QR,Urban,No,22,Monday
TXN100418,2024-01-02 06:32:00,879.71,Online Services,Online,Urban,No,6,Tuesday
TXN100411,2024-01-02 16:38:00,2538.96,Shopping,AutoPay,Semi-Urban,Yes,16,Tuesday
TXN100339,2024-01-03 04:49:00,2144.37,Other,Contact,Rural,Yes,4,Wednesday
TXN100125,2024-01-03 18:39:00,512.0,Food & Dining,QR,Rural,No,18,Wednesday
TXN100395,2024-01-03 19:40:00,4767.1,Entertainment,AutoPay,Semi-Urban,No,19,Wednesday
TXN100179,2024-01-04 06:07:00,1697.81,Health & Pharmacy,Online,Rural,Yes,6,Thursday
TXN100216,2024-01-04 15:29:00,1935.63,Travel,Online,Semi-Urban,Yes,15,Thursday
TXN100223,2024-01-06 11:57:00,1784.02,Entertainment,AutoPay,Semi-Urban,Yes,11,Saturday
TXN100490,2024-01-06 18:26:00,2549.49,Travel,QR,Semi-Urban,Yes,18,Saturday
TXN100108,2024-01-07 10:48:00,1937.43,Bills & Utilities,Online,Rural,No,10,Sunday
TXN100330,2024-01-07 12:48:00,2930.58,Other,Contact,Urban,Yes,12,Sunday
TXN100473,2024-01-07 23:51:00,2960.87,Entertainment,AutoPay,Urban,Yes,23,Sunday
TXN100051,2024-01-10 22:00:00,4145.39,Online Services,QR,Semi-Urban,Yes,22,Wednesday
TXN100057,2024-01-11 01:58:00,4438.55,Other,Contact,Rural,No,1,Thursday
TXN100100,2024-01-11 14:46:00,4016.38,Food & Dining,QR,Semi-Urban,No,14,Thursday
TXN100337,2024-01-11 23:24:00,3219.23,Bills & Utilities,AutoPay,Rural,Yes,23,Thursday
TXN100177,2024-01-13 05:18:00,469.16,Groceries,QR,Semi-Urban,No,5,Saturday
TXN100479,2024-01-13 23:21:00,4534.35,Travel,Contact,Rural,Yes,23,Saturday
TXN100150,2024-01-14 06:15:00,1657.55,Shopping,Online,Semi-Urban,No,6,Sunday
TXN100327,2024-01-15 18:05:00,4310.22,Fuel,AutoPay,Semi-Urban,Yes,18,Monday
TXN100400,2024-01-16 14:00:00,3168.04,Fuel,Online,Urban,Yes,14,Tuesday
TXN100204,2024-01-18 03:38:00,1410.81,Online Services,Online,Rural,Yes,3,Thursday
TXN100360,2024-01-18 11:09:00,4630.52,Health & Pharmacy,QR,Semi-Urban,Yes,11,Thursday
TXN100391,2024-01-18 13:33:00,3715.28,Online Services,AutoPay,Rural,No,13,Thursday
TXN100407,2024-01-19 09:56:00,2217.01,Entertainment,AutoPay,Semi-Urban,No,9,Friday
TXN100446,2024-01-19 19:17:00,4718.16,Travel,QR,Rural,Yes,19,Friday
TXN100239,2024-01-21 02:09:00,3002.79,Online Services,QR,Semi-Urban,No,2,Sunday
TXN100200,2024-01-21 02:44:00,3639.36,Shopping,Online,Rural,No,2,Sunday
TXN100277,2024-01-21 03:18:00,1723.3,Health & Pharmacy,Contact,Urban,Yes,3,Sunday
TXN100489,2024-01-21 14:09:00,975.73,Groceries,QR,Urban,No,14,Sunday
TXN100229,2024-01-23 12:47:00,3103.56,Travel,AutoPay,Rural,No,12,Tuesday
TXN100291,2024-01-23 22:08:00,1138.22,Shopping,AutoPay,Urban,Yes,22,Tuesday
TXN100321,2024-01-24 00:29:00,602.24,Other,QR,Semi-Urban,Yes,0,Wednesday
TXN100393,2024-01-24 05:14:00,1853.75,Health & Pharmacy,AutoPay,Semi-Urban,Yes,5,Wednesday
TXN100023,2024-01-24 10:30:00,1081.9,Other,Contact,Rural,No,10,Wednesday
TXN100207,2024-01-25 01:34:00,4662.59,Other,QR,Urban,Yes,1,Thursday
TXN100161,2024-01-25 21:30:00,1156.23,Shopping,AutoPay,Rural,No,21,Thursday
TXN100232,2024-01-26 13:57:00,2816.67,Bills & Utilities,QR,Urban,Yes,13,Friday
TXN100412,2024-01-26 17:12:00,1282.31,Entertainment,QR,Semi-Urban,Yes,17,Friday
TXN100187,2024-01-26 20:41:00,4198.16,Health & Pharmacy,Contact,Rural,Yes,20,Friday
TXN100035,2024-01-26 23:23:00,876.54,Entertainment,Contact,Urban,No,23,Friday
TXN100248,2024-01-27 03:33:00,2388.11,Health & Pharmacy,Contact,Semi-Urban,Yes,3,Saturday
TXN100170,2024-01-27 15:35:00,3130.06,Fuel,Contact,Urban,Yes,15,Saturday
TXN100088,2024-01-28 06:14:00,1631.88,Fuel,QR,Urban,Yes,6,Sunday
TXN100213,2024-01-29 09:18:00,4807.85,Shopping,Contact,Urban,No,9,Monday
TXN100352,2024-01-29 16:11:00,3687.33,Travel,Contact,Urban,Yes,16,Monday
TXN100073,2024-01-30 07:30:00,1331.0,Entertainment,QR,Rural,No,7,Tuesday
TXN100096,2024-02-02 05:11:00,4273.62,Online Services,AutoPay,Semi-Urban,Yes,5,Friday
TXN100064,2024-02-02 05:42:00,3700.56,Groceries,Online,Semi-Urban,Yes,5,Friday
TXN100098,2024-02-02 10:52:00,4196.32,Fuel,Online,Semi-Urban,Yes,10,Friday
TXN100390,2024-02-03 04:37:00,4700.16,Shopping,AutoPay,Urban,Yes,4,Saturday
TXN100307,2024-02-03 13:23:00,4047.47,Food & Dining,QR,Semi-Urban,Yes,13,Saturday
TXN100019,2024-02-03 20:00:00,3680.84,Online Services,Contact,Urban,Yes,20,Saturday
TXN100038,2024-02-03 21:10:00,1153.84,Travel,Online,Rural,No,21,Saturday
TXN100164,2024-02-04 23:03:00,4800.41,Health & Pharmacy,Contact,Rural,No,23,Sunday
TXN100178,2024-02-07 18:01:00,3508.04,Food & Dining,Contact,Urban,No,18,Wednesday
TXN100052,2024-02-09 14:36:00,3687.16,Shopping,QR,Rural,Yes,14,Friday
TXN100101,2024-02-11 18:05:00,475.76,Entertainment,Contact,Urban,No,18,Sunday
TXN100319,2024-02-12 07:18:00,3546.88,Groceries,AutoPay,Rural,Yes,7,Monday
TXN100120,2024-02-12 12:14:00,4148.26,Shopping,QR,Rural,Yes,12,Monday
TXN100414,2024-02-13 02:03:00,2985.23,Online Services,AutoPay,Urban,No,2,Tuesday
TXN100175,2024-02-15 21:01:00,4347.44,Food & Dining,Online,Rural,Yes,21,Thursday
TXN100040,2024-02-16 06:56:00,3892.99,Entertainment,QR,Semi-Urban,Yes,6,Friday
TXN100137,2024-02-16 11:40:00,2160.57,Shopping,AutoPay,Rural,Yes,11,Friday
TXN100278,2024-02-16 23:04:00,2545.5,Groceries,QR,Urban,No,23,Friday
TXN100138,2024-02-17 06:18:00,2036.35,Health & Pharmacy,Contact,Urban,No,6,Saturday
TXN100454,2024-02-17 08:32:00,4553.58,Health & Pharmacy,Online,Rural,Yes,8,Saturday
