transaction_id,timestamp,transaction_date,transaction_hour,day_of_week,amount,merchant_category,payment_mode,location_type,is_successful,payment_status
TXN100148,2024-01-01 14:48:00,2024-01-01,14,Monday,4571.7,Online Services,Online,Rural,Yes,Successful
TXN100022,2024-01-01 16:12:00,2024-01-01,16,Monday,4505.8,Shopping,Online,Semi-Urban,No,Failed
TXN100123,2024-01-01 17:29:00,2024-01-01,17,Monday,4651.69,Food & Dining,Online,Semi-Urban,No,Failed
TXN100227,2024-01-01 22:09:00,2024-01-01,22,Monday,975.8,Shopping,QR,Urban,No,Failed
TXN100418,2024-01-02 06:32:00,2024-01-02,6,Tuesday,879.71,Online Services,Online,Urban,No,Failed
TXN100411,2024-01-02 16:38:00,2024-01-02,16,Tuesday,2538.96,Shopping,AutoPay,Semi-Urban,Yes,Successful
TXN100339,2024-01-03 04:49:00,2024-01-03,4,Wednesday,2144.37,Other,Contact,Rural,Yes,Successful
TXN100125,2024-01-03 18:39:00,2024-01-03,18,Wednesday,512.0,Food & Dining,QR,Rural,No,Failed
TXN100395,2024-01-03 19:40:00,2024-01-03,19,Wednesday,4767.1,Entertainment,AutoPay,Semi-Urban,No,Failed
TXN100179,2024-01-04 06:07:00,2024-01-04,6,Thursday,1697.81,Health & Pharmacy,Online,Rural,Yes,Successful
TXN100216,2024-01-04 15:29:00,2024-01-04,15,Thursday,1935.63,Travel,Online,Semi-Urban,Yes,Successful
TXN100223,2024-01-06 11:57:00,2024-01-06,11,Saturday,1784.02,Entertainment,AutoPay,Semi-Urban,Yes,Successful
TXN100490,2024-01-06 18:26:00,2024-01-06,18,Saturday,2549.49,Travel,QR,Semi-Urban,Yes,Successful
TXN100108,2024-01-07 10:48:00,2024-01-07,10,Sunday,1937.43,Bills & Utilities,Online,Rural,No,Failed
TXN100330,2024-01-07 12:48:00,2024-01-07,12,Sunday,2930.58,Other,Contact,Urban,Yes,Successful
TXN100473,2024-01-07 23:51:00,2024-01-07,23,Sunday,2960.87,Entertainment,AutoPay,Urban,Yes,Successful
TXN100051,2024-01-10 22:00:00,2024-01-10,22,Wednesday,4145.39,Online Services,QR,Semi-Urban,Yes,Successful
TXN100057,2024-01-11 01:58:00,2024-01-11,1,Thursday,4438.55,Other,Contact,Rural,No,Failed
TXN100100,2024-01-11 14:46:00,2024-01-11,14,Thursday,4016.38,Food & Dining,QR,Semi-Urban,No,Failed
TXN100337,2024-01-11 23:24:00,2024-01-11,23,Thursday,3219.23,Bills & Utilities,AutoPay,Rural,Yes,Successful
TXN100177,2024-01-13 05:18:00,2024-01-13,5,Saturday,469.16,Groceries,QR,Semi-Urban,No,Failed
TXN100479,2024-01-13 23:21:00,2024-01-13,23,Saturday,4534.35,Travel,Contact,Rural,Yes,Successful
TXN100150,2024-01-14 06:15:00,2024-01-14,6,Sunday,1657.55,Shopping,Online,Semi-Urban,No,Failed
