transaction_id,date,time,amount,merchant_category,payment_mode,location_type,is_successful
TXN100000,2024-09-13,22:02,1399.65,Fuel,QR,Rural,No
TXN100001,2024-12-06,11:00,3250.0,Groceries,QR,Urban,Yes
TXN100002,2024-05-12,14:53,241.22,Online Services,Contact,Rural,No
TXN100003,2024-02-17,22:22,3268.35,Food & Dining,Online,Semi-Urban,Yes
TXN100004,2024-06-18,00:11,879.46,Groceries,Contact,Rural,No
TXN100005,2024-11-08,23:37,2072.11,Health & Pharmacy,QR,Semi-Urban,Yes
TXN100006,2024-07-31,09:24,4396.65,Travel,Online,Rural,No
TXN100007,2024-08-19,22:13,302.59,Shopping,Online,Rural,Yes
TXN100008,2024-04-04,08:57,3510.62,Fuel,Online,Semi-Urban,No
TXN100009,2024-09-28,03:22,3566.82,Other,Online,Semi-Urban,No
TXN100010,2024-04-23,11:40,2191.89,Entertainment,Contact,Semi-Urban,No
TXN100011,2024-11-23,23:51,656.67,Travel,Contact,Urban,No
TXN100012,2024-06-04,13:46,3040.92,Other,Online,Urban,No
TXN100013,2024-04-01,23:51,1930.19,Other,Online,Rural,No
TXN100014,2024-05-02,17:45,2183.55,Online Services,QR,Urban,No
TXN100015,2024-07-28,14:25,2315.58,Shopping,Online,Semi-Urban,No
TXN100016,2024-03-30,00:33,4928.6,Other,Online,Urban,Yes
TXN100017,2024-12-12,01:52,3628.99,Entertainment,Contact,Rural,No
TXN100018,2024-08-07,16:52,4001.33,Online Services,Contact,Rural,Yes
TXN100019,2024-02-03,20:00,3680.84,Online Services,Contact,Urban,Yes
TXN100020,2024-11-09,15:05,2663.16,Food & Dining,QR,Semi-Urban,No
TXN100021,2024-03-22,08:27,3905.33,Fuel,Online,Rural,Yes
TXN100022,2024-01-01,16:12,4505.8,Shopping,Online,Semi-Urban,No
TXN100023,2024-01-24,10:30,1081.9,Other,Contact,Rural,No
TXN100024,2024-02-20,23:50,681.18,Fuel,AutoPay,Semi-Urban,Yes
TXN100025,2024-07-11,11:28,169.96,Online Services,QR,Urban,No
TXN100026,2024-11-05,12:04,4734.66,Bills & Utilities,Online,Semi-Urban,No
TXN100027,2024-12-12,14:32,2351.82,Food & Dining,AutoPay,Urban,No
TXN100028,2024-03-16,11:45,4808.83,Shopping,AutoPay,Rural,Yes
TXN100029,2024-08-16,02:58,3197.47,Other,Online,Rural,No
TXN100030,2024-05-12,18:51,1734.73,Online Services,AutoPay,Semi-Urban,No
TXN100031,2024-09-18,13:06,4025.76,Entertainment,QR,Rural,No
TXN100032,2024-08-08,14:12,517.85,Entertainment,AutoPay,Rural,Yes
TXN100033,2024-07-01,00:32,4062.28,Groceries,QR,Rural,Yes
TXN100034,2024-04-06,13:06,1806.67,Fuel,QR,Rural,No
TXN100035,2024-01-26,23:23,876.54,Entertainment,Contact,Urban,No
TXN100036,2024-03-02,00:15,809.56,Groceries,QR,Semi-Urban,No
